Strategy,T,Return_3M,Return_Annual,MaxDD,Trades,Total_Capital
定期调仓,1,-2.803805767999822,-35.04757209999777,-4.421128029635934,358,1000000.0
定期调仓,2,-0.9758159769998397,-12.197699712497997,-3.664919311415471,178,1000000.0
定期调仓,3,2.6490841810000596,33.11355226250075,-2.966221612233466,118,1000000.0
定期调仓,5,1.242178530000022,15.527231625000276,-2.1817358851,58,1000000.0
定期调仓,8,0.11886248100001831,1.4857810125002289,-3.2832192933869964,38,1000000.0
定期调仓,10,0.858499711000023,10.731246387500287,-1.8931590061449954,18,1000000.0
定期调仓,12,-0.8579377659999766,-10.724222074999707,-3.7032610634850305,18,1000000.0
定期调仓,15,0.2237352170000202,2.7966902125002524,-2.001309619993119,18,1000000.0
滚动持仓,1,-2.8038057679997177,-35.04757209999647,-4.421128029635824,358,1000000.0
滚动持仓,2,0.2511699750001542,3.1396246875019274,-3.8135998358295398,210,1000000.0
滚动持仓,3,-0.8955426869999384,-11.19428358749923,-3.0335632554964187,150,1000000.0
滚动持仓,5,2.1333438310001047,26.666797887501307,-3.7062070917356693,90,1000000.0
滚动持仓,8,-0.003627238999970723,-0.045340487499634034,-3.8812242608148084,58,1000000.0
滚动持仓,10,0.26850477500002595,3.356309687500324,-3.8812242608148084,50,1000000.0
滚动持仓,12,1.180816732000024,14.7602091500003,-3.8812242608148084,50,1000000.0
滚动持仓,15,1.245909504000016,15.5738688000002,-3.8812242608148084,30,1000000.0
滚动持仓,18,0.7265057980000391,9.081322475000489,-3.8812242608148084,30,1000000.0
强制买入,1,-2.739040611999773,-34.23800764999716,-4.267325168273595,327,1000000.0
强制买入,2,-0.9680186769998399,-12.100233462497998,-2.4335942934436416,309,2000000.0
强制买入,3,0.759280758000041,9.491009475000512,-1.8801425943391403,286,3000000.0
强制买入,5,1.912435811600145,23.90544764500181,-1.5159274334575867,271,5000000.0
强制买入,8,0.6183589053750503,7.729486317188129,-1.3008109563656056,269,8000000.0
强制买入,10,1.3992538617999293,17.490673272499116,-1.0409710059266164,249,10000000.0
强制买入,12,1.6954734889167051,21.193418611458814,-0.8676549533686462,241,12000000.0
强制买入,15,1.4241820921333384,17.802276151666728,-0.6942673139577638,241,15000000.0
