Period,Return,MaxDD,Score
T1,-19.193933827997242,-40.46965162626004,-0.4742796900070827
T2,10.651164380001719,-37.527691895390745,0.28382146202042136
T3,-7.524482677999127,-41.80219657249866,-0.18000208828617933
T4,31.01782888400096,-35.180742983188274,0.8816706599637013
T5,15.921789058000687,-34.60202579977608,0.46014037299815325
T6,46.929839154000625,-24.969919710902243,1.879454948087412
T7,15.609599521000566,-22.31802664587765,0.6994166540205204
T8,50.46077086400052,-31.35975306001789,1.6090933741546412
T9,58.69385781200044,-24.373311770664884,2.408119929054652
T10,80.88213186400056,-21.66783722345017,3.7328198024519628
T11,11.843474614000298,-25.852596760106362,0.45811547381097867
T12,61.08634781500041,-18.469678069109452,3.3073856288360197
T13,60.40503276800045,-32.963436833024694,1.8324858865287725
T14,58.53745769000028,-40.96273900509048,1.4290415902785645
T15,30.87203863000022,-25.969164788603717,1.188795977125459
T16,46.77966904500022,-32.75379709462746,1.4282212504965843
T17,30.167013404000247,-17.5300568139356,1.7208736813687242
T18,106.18035074900018,-24.480199890285203,4.337397211823304
T19,39.551850215000215,-19.115457516177614,2.0691029854518033
T20,70.65970244600022,-24.821891495892544,2.846668734237791
