TOP_N,T,Return,MaxDD,Sharpe,Calmar,Status
3,6,38.86,27.62,0.52,1.4069514844315714,OK
3,7,44.53,28.96,0.57,1.5376381215469612,OK
3,8,66.95,24.05,0.81,2.7837837837837838,OK
3,10,69.1,23.94,0.94,2.886382623224728,OK
3,9,66.71,24.42,0.88,2.7317772317772313,OK
3,11,64.12,23.75,0.92,2.6997894736842105,OK
3,13,73.14,22.09,1.04,3.3110004526935266,OK
3,14,71.32,20.95,1.08,3.4042959427207635,OK
3,12,66.03,22.45,0.97,2.9412026726057907,OK
4,6,49.07,26.84,0.64,1.828241430700447,OK
3,16,66.75,19.07,1.09,3.5002621919244885,OK
3,15,70.09,19.69,1.11,3.559674961909599,OK
4,7,51.2,27.73,0.67,1.846375766318067,OK
4,8,69.83,24.32,0.87,2.8712993421052633,OK
4,9,67.43,24.09,0.91,2.799086757990868,OK
4,10,71.81,21.74,1.0,3.303127874885005,OK
4,11,71.63,22.22,1.04,3.223672367236724,OK
4,12,70.02,20.81,1.04,3.364728495915425,OK
4,13,77.82,21.23,1.13,3.6655675930287326,OK
5,6,50.43,27.17,0.68,1.8560912771439086,OK
4,14,71.18,19.58,1.12,3.6353421859039843,OK
5,7,46.28,28.7,0.63,1.6125435540069688,OK
4,15,73.03,18.54,1.17,3.939050701186624,OK
4,16,71.85,18.02,1.19,3.9872364039955603,OK
5,8,66.72,23.8,0.87,2.803361344537815,OK
5,9,65.04,23.24,0.91,2.798623063683305,OK
5,10,68.49,21.34,0.99,3.2094657919400187,OK
5,11,68.61,21.88,1.03,3.1357404021937842,OK
5,12,72.17,19.3,1.08,3.7393782383419687,OK
5,13,74.03,20.78,1.13,3.562560153994225,OK
5,14,65.95,19.8,1.09,3.330808080808081,OK
6,6,50.53,25.94,0.7,1.9479568234387046,OK
5,15,72.11,18.26,1.2,3.9490690032858704,OK
6,7,50.21,26.0,0.71,1.9311538461538462,OK
5,16,69.13,17.73,1.18,3.899041173152848,OK
6,8,60.3,23.94,0.84,2.5187969924812026,OK
6,9,60.37,23.18,0.88,2.6044003451251077,OK
6,10,66.12,21.48,0.98,3.0782122905027935,OK
6,11,63.53,21.06,1.0,3.01661918328585,OK
6,12,72.89,18.39,1.11,3.963567156063078,OK
6,13,72.89,18.71,1.15,3.895777659005879,OK
6,14,64.79,19.21,1.1,3.372722540343571,OK
7,6,46.93,25.16,0.68,1.8652623211446742,OK
6,15,69.69,17.33,1.19,4.02135025966532,OK
6,16,67.64,16.94,1.18,3.9929161747343564,OK
7,7,47.22,27.14,0.69,1.739867354458364,OK
7,8,54.66,24.61,0.8,2.2210483543275092,OK
7,9,56.69,24.52,0.87,2.311990212071778,OK
7,10,58.64,21.62,0.92,2.7123034227567064,OK
7,11,59.68,21.7,0.97,2.750230414746544,OK
7,12,67.09,18.52,1.07,3.6225701943844495,OK
7,13,70.93,19.88,1.14,3.5679074446680086,OK
7,14,64.89,19.61,1.12,3.309026007139215,OK
7,15,68.09,17.49,1.19,3.89308176100629,OK
8,6,47.81,25.27,0.71,1.8919667590027702,OK
8,7,49.75,26.44,0.75,1.8816187594553706,OK
7,16,66.99,16.96,1.18,3.9498820754716975,OK
8,8,56.81,25.04,0.86,2.268769968051118,OK
8,9,54.35,25.22,0.86,2.1550356859635214,OK
8,10,56.95,22.06,0.92,2.5815956482320948,OK
8,11,61.29,21.51,1.01,2.8493723849372383,OK
8,12,66.61,18.83,1.09,3.537440254912374,OK
8,13,70.44,19.24,1.16,3.6611226611226613,OK
8,14,64.84,18.88,1.14,3.4343220338983054,OK
8,15,66.95,17.45,1.21,3.836676217765043,OK
8,16,66.8,17.35,1.2,3.8501440922190198,OK
9,6,50.62,25.81,0.75,1.9612553273924835,OK
9,7,50.17,26.26,0.77,1.9105102817974104,OK
9,8,59.33,24.67,0.91,2.4049452776651803,OK
9,9,56.69,24.11,0.91,2.3513065118208214,OK
9,10,56.1,22.54,0.92,2.4889086069210293,OK
9,11,57.69,22.43,0.99,2.5720017833259026,OK
9,12,65.45,18.86,1.1,3.4703075291622483,OK
9,13,68.23,19.2,1.16,3.553645833333334,OK
9,14,64.6,19.01,1.16,3.3982114676486055,OK
10,6,51.6,25.03,0.76,2.0615261685976827,OK
9,15,63.64,17.87,1.18,3.561275881365417,OK
9,16,64.06,17.62,1.19,3.6356413166855845,OK
10,7,50.75,25.43,0.79,1.995674400314589,OK
10,8,63.42,23.33,0.96,2.718388341191599,OK
10,9,57.07,23.86,0.92,2.3918692372171,OK
10,10,55.15,23.3,0.92,2.3669527896995706,OK
10,11,58.53,22.86,1.01,2.5603674540682415,OK
10,12,66.01,19.16,1.11,3.4451983298538624,OK
10,13,66.34,19.57,1.16,3.3898824731732247,OK
10,14,64.75,19.85,1.17,3.2619647355163726,OK
10,15,64.82,18.28,1.2,3.5459518599562356,OK
10,16,63.06,18.51,1.17,3.406807131280389,OK
