T,TOP_N,Final_Return,Max_Drawdown,Sharpe,Risk_Adj_Ratio
18,5,71.3504,-27.958321433728717,0.8047072423030488,2.552027315700126
6,5,62.44589000000005,-24.641503942612285,0.6724062879909094,2.5341752737751144
10,5,69.03381999999998,-27.900449744206114,0.7352468316419458,2.4742905807221165
17,5,66.00685999999993,-28.34376670472778,0.7584130996021318,2.3287963342215168
9,5,67.86612000000001,-29.255918715676476,0.70301562481653,2.31973983314476
4,5,58.51022999999995,-25.95442040848992,0.6171540446693413,2.2543454671351757
3,5,56.318120000000185,-25.11855944365967,0.5967978166331336,2.242091953016668
5,5,55.02682999999988,-24.594084528972125,0.5970821426488752,2.2374010276811735
8,5,59.66047000000001,-27.21392799965966,0.6550792273545551,2.192277057569423
12,5,61.590949999999964,-28.36708702025711,0.7001267807611413,2.171211656523544
16,5,59.000370000000004,-29.073809158639396,0.6914236125543413,2.029330579906755
19,5,56.796859999999995,-27.988093715326624,0.6958497096879451,2.0293222031373053
14,5,58.30962000000004,-28.748109285049328,0.6759406273733298,2.0282940843808603
15,5,60.325249999999954,-29.83788600892573,0.6990198045604337,2.021766889985243
20,5,56.25690000000001,-29.003205348193806,0.6956586416208189,1.9396787122187322
2,5,58.99450999999984,-30.93777938825343,0.558402106409442,1.9068760320399434
13,5,56.29492999999999,-29.533498691000403,0.6588488844551439,1.9061381988296044
11,5,54.35615999999999,-29.444007121030914,0.6281035472390853,1.8460856831261638
7,5,48.41213000000004,-28.037307945960833,0.5695839530236014,1.7267039365302004
