T,Return,MaxDD,Sharpe,Trades
1,-0.35575500000003724,-58.978924483091035,0.5725698654226958,2276
2,18.76575299999999,-27.341491751192535,0.518743818227498,5013
3,21.596922000000085,-25.705818600564957,0.58862058769627,5208
4,19.849708000000028,-24.149904268765752,0.562347148251436,4940
5,33.876858999999875,-21.954913503087127,0.8300313746399607,5497
6,36.685284,-22.321880440654507,0.8562992556329063,5660
7,40.670857000000176,-20.320625834305396,0.9926429064715837,5718
8,40.765038000000025,-20.24740953977475,0.9904692306911478,5705
9,39.291682000000144,-23.84909316922178,0.9259643954287162,5604
10,37.283227999999966,-21.181378575807265,0.9377867092701655,5683
11,38.090925999999904,-24.441992700799208,0.9115540380543529,5667
12,38.88761499999987,-23.033338637202082,0.9650067303635441,5672
13,40.099553000000085,-21.549771380448757,1.0444110598715706,5671
14,43.34511499999994,-20.620383811794184,1.136355111408732,5656
15,42.57199900000006,-21.257871031911392,1.085316369363472,5651
16,41.41319799999991,-21.812826501551985,1.0405212162863966,5637
17,40.726726000000035,-20.62896128616455,1.0811093744685902,5635
18,39.46915600000009,-20.374430484755546,1.079629340025456,5625
19,39.50935199999992,-19.654420367172442,1.1035995843745603,5618
20,40.05509599999994,-19.566513727836032,1.100291356369171,5605
