TopN,Period,Return,MaxDD
3,1,130.7386219307555,-44.29098708669933
3,2,139.69804454768843,-39.50963654908144
3,3,99.46487105837913,-30.26928468636819
3,4,115.02640255210994,-25.648852080864295
3,5,28.71626074126641,-23.34508676943302
3,6,119.55554289148705,-30.81468712717062
3,7,267.15142924727695,-17.801659737127913
3,8,149.83196290370873,-21.62526242538018
3,9,82.59037995030276,-37.686379778126174
3,10,86.32960368914146,-19.3464224433015
3,11,122.7130558024483,-21.414741742055856
3,12,167.46795522531283,-26.08767848983534
3,13,110.67018377759572,-28.944035324662714
3,14,287.698403355802,-18.5467570873368
3,15,137.25355277401073,-17.015252694229975
3,16,170.45132585626828,-19.904604646754763
3,17,131.82666537796385,-24.945924741313
3,18,44.41514317543076,-33.01832615166487
3,19,132.1716572691133,-26.272758440927706
3,20,75.85442431112746,-19.050763573488247
5,1,113.6183832518908,-37.605995979604394
5,2,102.25973378086204,-36.61462034087239
5,3,95.89621865039987,-26.976660667665858
5,4,80.2840258420643,-25.372049954296006
5,5,46.80407334009777,-20.25329537127063
5,6,108.34047424169016,-24.913344470320705
5,7,168.1202906706302,-20.849461751062538
5,8,155.23690093089652,-19.336694354819993
5,9,82.16725599285988,-28.62992915875931
5,10,110.27610566947766,-17.224488048628533
5,11,105.02778448621575,-21.292808982846083
5,12,175.2299222340263,-23.99559896272593
5,13,97.41315304128524,-22.757540851400798
5,14,196.88412103544835,-17.741071435009605
5,15,146.6310064937158,-18.35890523496509
5,16,156.7162918916077,-17.704351318144976
5,17,105.1318918819347,-21.775231235596372
5,18,47.29242150049846,-28.219106437823616
5,19,121.62933751565035,-24.644093187693798
5,20,100.76326494164314,-19.108654036636466
10,1,107.45015993434208,-30.626628123578143
10,2,121.72627110671867,-28.33178838118361
10,3,91.09039715379015,-28.11898703887793
10,4,83.84517462168985,-28.355602936368186
10,5,45.92393360408915,-21.319744559920725
10,6,122.62960601208026,-21.8565311969939
10,7,140.37715811515153,-20.242186047730463
10,8,135.22750228485214,-18.899338733800334
10,9,100.41562104071704,-27.054975454406062
10,10,120.58277735859507,-17.172380202254026
10,11,115.51924559197144,-19.625566699756547
10,12,163.99146174257672,-18.365213366752158
10,13,100.0220922674663,-18.91230952534053
10,14,159.64462354806116,-16.047322981251753
10,15,119.87670397152002,-17.306102390774424
10,16,122.81855183878756,-19.50715932606085
10,17,111.7632965179821,-20.709190636845314
10,18,80.88407266985122,-22.842772920197596
10,19,96.67940118066478,-22.70923765910306
10,20,110.19373192706001,-18.401685223401564
