Period,Return,MaxDD
1,110.04300618476309,-25.246147518680758
2,98.81358620933358,-25.24614751868073
3,97.06121334937407,-25.24614751868076
4,101.11802382610352,-25.24614751868076
5,100.78551034209941,-25.24614751868076
6,105.32833358838558,-25.24614751868077
7,105.67088007733622,-25.246147518680772
8,107.0558535721963,-25.24614751868077
9,107.05806472205697,-25.24614751868076
10,106.95778676843321,-25.24614751868077
11,104.20836168234469,-25.246147518680772
12,104.64358252471473,-25.24614751868077
13,105.62963485530528,-25.246147518680758
14,107.03160745544666,-25.24614751868075
15,107.41507779024357,-25.24614751868075
16,107.17030829650702,-25.246147518680743
17,105.49770520349058,-25.246147518680743
18,103.2980967597397,-25.246147518680733
19,100.55973557833546,-25.246147518680733
20,97.42484889492395,-25.24614751868074
