Period,T_Value,Return,MaxDD,Score,Trades
T1,1,-28.96116215299749,-45.329094963788684,-0.6389088989341883,5604
T2,2,-13.15091330199932,-32.23304828846957,-0.4079947135097265,5284
T3,3,-9.545374821999134,-27.942504172620662,-0.34160770856579586,5002
T4,4,9.577370212000538,-24.092511405758586,0.3975247765042609,4643
T5,5,14.595507859000655,-19.592733827268138,0.7449449366115204,4273
T6,6,16.86779577200054,-21.2094217832663,0.7952972949648636,3824
T7,7,18.858321603000512,-28.04562660080179,0.6724157698962367,3547
T8,8,21.81285783000041,-23.729931851749107,0.9192128307099461,3089
T9,9,48.80241562200068,-29.723269841677592,1.6418925603390564,2196
T10,10,44.18362526500041,-20.295647119402894,2.177000073220642,1927
T11,11,21.23654178900034,-24.93700956454099,0.8516073963895614,1451
T12,12,30.405812356000204,-16.44422236940416,1.8490270730328204,1598
T13,13,39.3299230110004,-30.372087298952245,1.2949364534572894,1275
T14,14,27.95970067900019,-37.80503011220863,0.7395762044366413,1361
T15,15,25.17231716700022,-23.030686702641912,1.0929902999424084,1427
T16,16,43.731451736000295,-26.576432016078,1.6454974734585885,1437
T17,17,26.855519528000286,-17.145193099178357,1.5663585340014208,695
T18,18,49.0915705520001,-21.14464546541548,2.3217022310586883,1135
T19,19,38.28473048300028,-20.166974027620498,1.8983874541895018,794
T20,20,41.962650723000195,-22.99396134479681,1.8249422139041613,828
