top_n,T,return,max_dd,sharpe
3,10,76.69972000000003,-17.619580016215465,1.7894991023398044
3,11,68.96879999999996,-18.688306773343836,1.6957514426655482
3,12,60.34603999999999,-21.857596431323838,1.5414082032471275
3,13,57.00908,-21.936140924138563,1.5016611496478376
3,14,67.78235000000001,-18.985108391615814,1.719955285928464
3,15,66.29065,-18.926747761788146,1.7103910225378498
3,16,67.61214000000004,-17.44273263950991,1.7752747559026107
4,10,83.62567999999999,-16.691269374931174,1.926652639617514
4,11,73.96430000000002,-17.029987660023192,1.8044957828362913
4,12,68.22717,-19.49513921384089,1.7120296957556627
4,13,65.97457,-18.724196420440745,1.7131387134857918
4,14,71.93533000000001,-17.67703406770675,1.8055616736569509
4,15,72.72187,-16.13849689738333,1.861443011089492
4,16,69.07982999999996,-16.00896230125725,1.8372655990444389
5,10,86.89874999999996,-15.828972222511089,1.9951620798598868
5,11,74.12275999999997,-17.46784776682884,1.810235424726968
5,12,71.60096999999996,-18.814893989617364,1.7779450545521167
5,13,67.97179000000004,-18.899466470680885,1.754222562687954
5,14,75.09097000000003,-17.13330762986654,1.876915770487544
5,15,75.58626999999998,-16.10610996732863,1.9237885800704813
5,16,68.50258,-16.205943609569054,1.8369871936122883
6,10,92.62907999999999,-16.27569823645551,2.0864245084547197
6,11,83.10958,-16.754342844679098,1.9712536836370833
6,12,75.06143,-19.112726813528123,1.8515625815658492
6,13,71.33368,-18.95329005620157,1.8191088677478457
6,14,79.18570999999999,-16.649612563455126,1.9603669601606462
6,15,78.74752999999997,-16.155657623162334,1.9943235781331397
6,16,72.19948000000001,-16.645216745701564,1.9040938583014984
7,10,81.43869999999995,-16.20783152955104,1.9376781012282855
7,11,80.65568000000003,-16.42444814598526,1.9354122625815704
7,12,70.38813000000006,-19.42518377065283,1.7734560491150575
7,13,68.86691999999996,-18.938262640564492,1.7728537542969074
7,14,76.01986000000005,-16.416365611947686,1.9127525952576228
7,15,76.32128999999996,-15.876391568461267,1.9597655191866445
7,16,69.12204,-16.616744655009327,1.8429086276501843
8,10,77.60012000000003,-16.22026512682534,1.9249553887225046
8,11,78.38351000000002,-16.137569426631533,1.936260479294018
8,12,70.93653999999997,-18.350324543233153,1.8146929372360752
8,13,68.68591999999998,-17.79973403959359,1.8082778359906493
8,14,76.26451000000003,-15.342569489166955,1.9540258953926068
8,15,75.08783000000004,-15.630078943595812,1.9706122996942141
8,16,69.17887000000003,-15.937562356160646,1.872200327361
9,10,77.11603999999998,-14.896458124875547,1.9550714514507952
9,11,76.50257000000002,-15.883486683903305,1.9263143721521905
9,12,68.99487000000005,-17.602856393657405,1.8145981804064935
9,13,67.75488,-17.314876175439675,1.8053650811502482
9,14,76.4931,-14.20897003954081,1.9770904019115718
9,15,73.2865,-15.656731522571008,1.949801249504369
9,16,69.87497000000002,-15.506196848259348,1.9063566677886379
10,10,83.82531000000002,-12.583306221528412,2.0938562241655148
10,11,82.15735999999998,-13.681043059827433,2.051947706627528
10,12,72.85688000000002,-15.844164274359743,1.9262426678364282
10,13,72.12577999999998,-15.604088026478358,1.9204012289138344
10,14,78.96229000000004,-13.083864675583404,2.0523670547043316
10,15,76.80767000000004,-14.198250279142952,2.0418485722279853
10,16,74.03833000000004,-14.452146920640176,2.0123665017721843
